workclass,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,Sex_age,income
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,9,0,40,United-States,Male_25–60,>50K
Private,5th-6th,4,Married-civ-spouse,Tech-support,Other-relative,Asian-Pac-Islander,-3,0,40,China,Male_25–60,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,0,0,39,United-States,Male_>60,<=50K
Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,3,0,80,United-States,Male_25–60,<=50K
Self-emp-not-inc,HS-grad,9,Married-spouse-absent,Craft-repair,Not-in-family,White,1,0,109,Canada,Female_>60,<=50K
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,0,0,40,United-States,Female_>60,<=50K
Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,1,0,40,United-States,Male_25–60,<=50K
Local-gov,9th,4,Widowed,Prof-specialty,Own-child,White,2,0,20,Germany,Female_>60,<=50K
Private,7th-8th,4,Never-married,Craft-repair,Own-child,White,-3,0,40,United-States,Male_<25,<=50K
Self-emp-not-inc,HS-grad,9,Married-spouse-absent,Other-service,Own-child,White,-1,0,39,El-Salvador,Male_25–60,>50K
Private,Prof-school,14,Never-married,Prof-specialty,Own-child,White,3,0,38,United-States,Male_25–60,>50K
Private,Preschool,1,Never-married,Other-service,Not-in-family,White,-5,0,37,Puerto-Rico,Female_25–60,<=50K
Private,Prof-school,14,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,-5,0,20,India,Female_>60,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,3877,0,40,United-States,Male_<25,<=50K
Private,10th,5,Never-married,Sales,Not-in-family,White,3,0,40,United-States,Female_25–60,<=50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,-2,0,58,United-States,Male_>60,<=50K
Private,1st-4th,2,Never-married,Other-service,Not-in-family,Other,6,0,40,Mexico,Male_25–60,<=50K
Private,HS-grad,9,Separated,Craft-repair,Not-in-family,White,0,1,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,12th,7,Married-civ-spouse,Prof-specialty,Wife,White,5,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,-5,0,57,United-States,Male_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,-2,0,26,United-States,Male_>60,<=50K
State-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,Black,4,0,40,United-States,Female_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,2,0,40,Puerto-Rico,Female_25–60,>50K
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,2,0,58,United-States,Female_25–60,<=50K
Private,10th,3,Never-married,Craft-repair,Own-child,White,8,0,22,El-Salvador,Female_25–60,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,3806,0,40,United-States,Female_25–60,<=50K
Private,Assoc-voc,5,Separated,Tech-support,Unmarried,Other,6,0,40,United-States,Male_25–60,<=50K
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,0,0,22,United-States,Male_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,3,0,59,United-States,Male_>60,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,4,0,40,United-States,Male_25–60,<=50K
Private,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,3,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,7th-8th,4,Widowed,Sales,Not-in-family,White,-3,1,35,United-States,Male_>60,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Other,-2,0,40,United-States,Female_25–60,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Sales,Husband,White,-10,1855,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Assoc-voc,11,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,-3,0,40,Poland,Female_25–60,<=50K
Private,11th,7,Widowed,Other-service,Not-in-family,White,-3,0,21,United-States,Female_>60,<=50K
Self-emp-inc,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,5,0,58,United-States,Male_25–60,<=50K
Private,12th,8,Never-married,Machine-op-inspct,Own-child,White,5,0,40,United-States,Female_<25,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,13,0,40,Hungary,Male_25–60,>50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,3,0,40,United-States,Male_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,-2,1853,40,Puerto-Rico,Male_25–60,>50K
Private,Some-college,10,Separated,Exec-managerial,Unmarried,Black,7,0,40,United-States,Female_25–60,>50K
Private,Assoc-acdm,12,Never-married,Sales,Own-child,White,0,0,35,United-States,Female_25–60,<=50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,101156,0,40,United-States,Male_25–60,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,2,0,22,United-States,Male_25–60,<=50K
Private,1st-4th,2,Never-married,Machine-op-inspct,Not-in-family,White,3,0,40,Mexico,Female_>60,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,3,0,62,United-States,Female_<25,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,3,0,40,United-States,Male_25–60,>50K
Private,Masters,14,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,-3,0,22,China,Female_25–60,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,2,0,40,United-States,Male_25–60,<=50K
Self-emp-inc,Some-college,10,Never-married,Adm-clerical,Own-child,White,6,0,40,Germany,Female_25–60,<=50K
State-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,-2,0,40,United-States,Male_25–60,<=50K
Private,Bachelors,14,Divorced,Exec-managerial,Not-in-family,White,-3,0,40,United-States,Male_25–60,<=50K
Local-gov,Masters,14,Widowed,Prof-specialty,Not-in-family,White,-3,0,57,United-States,Male_>60,<=50K
Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,-3,0,40,United-States,Male_25–60,<=50K
Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,12,0,57,Nicaragua,Male_25–60,>50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,-8,0,39,Germany,Male_25–60,<=50K
Private,12th,10,Never-married,Other-service,Own-child,White,6,0,40,United-States,Female_<25,<=50K
Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,-1,0,21,United-States,Male_<25,<=50K
Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,-1,0,40,United-States,Male_25–60,>50K
Private,Some-college,10,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,3929,0,40,Philippines,Female_>60,<=50K
Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,5,0,39,Puerto-Rico,Female_25–60,<=50K
Self-emp-not-inc,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,5,0,48,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Other-relative,White,4,0,40,United-States,Male_<25,<=50K
Private,Assoc-acdm,9,Married-civ-spouse,Transport-moving,Husband,White,-3,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,-4,0,61,United-States,Male_25–60,<=50K
Self-emp-not-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,-5,0,40,United-States,Male_25–60,<=50K
Self-emp-not-inc,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,3,0,40,England,Female_25–60,<=50K
Local-gov,Assoc-acdm,16,Married-civ-spouse,Transport-moving,Husband,White,9,0,40,United-States,Male_25–60,>50K
Private,Some-college,10,Divorced,Sales,Not-in-family,White,1,0,57,United-States,Female_25–60,<=50K
Private,Bachelors,13,Never-married,Sales,Not-in-family,White,-1,0,40,United-States,Female_25–60,<=50K
Self-emp-not-inc,Masters,14,Never-married,Exec-managerial,Not-in-family,White,9,0,80,United-States,Male_25–60,>50K
State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,2,0,40,United-States,Male_25–60,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,-3,0,40,United-States,Female_25–60,>50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,-1,0,40,United-States,Female_25–60,>50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,-9,0,80,Vietnam,Male_25–60,>50K
Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,3,0,40,United-States,Female_25–60,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,7587,0,40,United-States,Male_25–60,>50K
Private,11th,7,Divorced,Other-service,Unmarried,White,-3,0,39,United-States,Female_25–60,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,7679,0,47,United-States,Male_25–60,>50K
Private,HS-grad,9,Divorced,Sales,Unmarried,White,2,0,58,Scotland,Female_25–60,<=50K
State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,-1,0,40,United-States,Female_<25,<=50K
Private,HS-grad,9,Never-married,Tech-support,Not-in-family,White,1,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,-2,0,40,United-States,Female_25–60,<=50K
Private,HS-grad,9,Widowed,Other-service,Not-in-family,Black,0,0,40,United-States,Female_>60,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,-2,0,40,United-States,Male_25–60,<=50K
Private,HS-grad,9,Widowed,Transport-moving,Not-in-family,White,-1,0,58,United-States,Male_25–60,<=50K
Private,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,White,0,0,40,Mexico,Female_25–60,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,3,0,40,United-States,Female_<25,<=50K
